insight_id,category,title,text,comment,priority,companies,kpis,graph_type,year,quarter,is_active,sort_order
ADV_001,Advertising,The Duopoly Tollbooth (Auto),"In 2024, Alphabet + Meta account for 85.8% of tracked ad revenue. The historical peak in this dataset is 100.0% in 2010.","In 2024, Alphabet + Meta account for 85.8% of tracked ad revenue. The historical peak in this dataset is 100.0% in 2010.",high,Alphabet|Meta Platforms,advertising_revenue|market_share,duopoly_share_trend,2024,,1,1
ADV_002,Advertising,Meta Platforms: Fastest Ad Revenue Growth (Auto),Meta Platforms posted the fastest ad-revenue growth in 2024: +20.8% YoY.,Meta Platforms posted the fastest ad-revenue growth in 2024: +20.8% YoY.,medium,Meta Platforms,advertising_revenue|yoy_growth,ad_revenue_growth_comparison,2024,,1,2
EFF_001,Efficiency,Netflix: Highest Revenue Per Employee (Auto),Netflix leads revenue per employee at $2.79M per employee in 2024 Q2.,Netflix leads revenue per employee at $2.79M per employee in 2024 Q2.,high,Netflix,revenue|employee_count|revenue_per_employee,revenue_per_employee_comparison,2024,,1,3
EFF_003,Efficiency,Apple: Human Multiplier Leader (Auto),Apple grew market-cap-per-employee by 2.51x from 2019 to 2024.,Apple grew market-cap-per-employee by 2.51x from 2019 to 2024.,medium,Apple,market_cap|employee_count|market_cap_per_employee,market_cap_vs_headcount_growth,2024,,1,4
MAC_001,Macro,Market Cap Concentration Regime (Auto),Top 3 companies represent 66.6% of tracked market cap in 2024. Concentration remains structurally high.,Top 3 companies represent 66.6% of tracked market cap in 2024. Concentration remains structurally high.,high,Apple|Microsoft|Alphabet,market_cap,market_cap_concentration_trend,2024,,1,5
MAC_002,Macro,Warner Bros. Discovery: Highest Debt-to-Revenue Pressure (Auto),Warner Bros. Discovery has the highest debt/revenue ratio in 2024: 0.93x.,Warner Bros. Discovery has the highest debt/revenue ratio in 2024: 0.93x.,medium,Warner Bros. Discovery,debt|revenue|debt_to_revenue,debt_to_revenue_trend,2024,,1,6
ATT_002,Attention,Top KPI Signal: Revenue (Auto),Revenue is the most frequently cited KPI type in transcripts for 2026 Q2 (11 mentions).,Revenue is the most frequently cited KPI type in transcripts for 2026 Q2 (11 mentions).,low,,transcript_kpis,transcript_kpi_mix,2026,Q2,1,7
ATT_001,Attention,Top Conversation Topic: Cloud & infrastructure (Auto),"Cloud & infrastructure is the most discussed theme in earnings calls for 2026 Q2, with 80 mentions across transcripts.","Cloud & infrastructure is the most discussed theme in earnings calls for 2026 Q2, with 80 mentions across transcripts.",medium,,topic_mentions,topic_mentions_bar,2026,Q2,1,8
STR_002,Streaming,Disney: Highest CapEx Intensity (Auto),"Among major streaming players, Disney has the highest capex/revenue intensity in 2024 (5.9%).","Among major streaming players, Disney has the highest capex/revenue intensity in 2024 (5.9%).",low,Disney,capex|revenue|capex_intensity,streaming_capex_intensity,2024,,1,9
BIZ_001,Business Model,Roku: Highest R&D Intensity (Auto),Roku leads R&D intensity at 16.0% of revenue in 2025 Q2.,Roku leads R&D intensity at 16.0% of revenue in 2025 Q2.,medium,Roku,r_and_d|revenue|rd_intensity,rd_intensity_comparison,2025,,1,10
BIZ_002,Business Model,Microsoft: Highest Operating Margin (Auto),Microsoft currently leads operating margin at 46.6% in 2025 Q2.,Microsoft currently leads operating margin at 46.6% in 2025 Q2.,medium,Microsoft,operating_income|revenue|operating_margin,operating_margin_comparison,2025,,1,11
