year,quarter,company,role_bucket,speaker,quote,score
2018,4,Apple,CEO,Unknown,"Please note that some of the information you'll hear during our discussion today will consist of forward-looking statements, including, without limitation, those regarding revenue, gross margin, operating expenses, other income and expense, taxes, capital allocation, and future business outlook.",4.9
2018,4,Comcast,CEO,Unknown,"And those capabilities really do come together, I think, in the OTT announcement, just to pick that as an example, because not only will it draw out the best of our content creation capabilities, whether that's in film or television, whether that's original or real, you know, recurring series, it needs broadband to get the great capabilities of that streaming service.",3.0
2018,4,Comcast,CEO,Unknown,"And those capabilities really do come together, I think, in the OTT announcement, just to pick that as an example, because not only will it draw out the best of our content creation capabilities, whether that's in film or television, whether that's original or real, you know, recurring series, it needs broadband to get the great capabilities of that streaming service.",2.9
2018,4,Alphabet,CFO,Unknown,"The key drivers were first, content acquisition costs, primarily for YouTube, mostly for our advertising-supported content in what is a seasonally strong quarter for YouTube, but also for our newer subscription businesses, YouTube Premium and YouTube TV, which have higher CAC as a percentage of revenues.",7.7
2018,4,Alphabet,CFO,Unknown,"Turning to Investments and Profitability In terms of gross margin, the biggest component within cost of revenues remains our traffic acquisition costs, reflecting our strong revenue growth in mobile search and the fact that mobile search carries higher TAC than our desktop business.",7.7
2018,4,Alphabet,CFO,Unknown,"Total traffic acquisition costs were $7.4 billion, or 23% of total advertising revenues, and up 15% year over year.",6.9227
2018,4,Alphabet,CFO,Unknown,"Ruth Porat Chief Financial Officer We had a strong 2018 with total revenues of $136.8 billion, up 23% over 2017, reflecting the benefit of our ongoing investments to deliver exceptional experiences for users and compelling returns for our advertisers, partners, and enterprise customers.",6.8
2018,4,Alphabet,CFO,Unknown,"In terms of the expenses, I think what you're referring to is â Within other cost revenues, you know, the primary driver in the fourth quarter was the increase in content acquisition costs due to YouTube growth, and that's both for ad-supported content in what is typically a seasonally strong quarter and also for our newer subscription businesses, which do have higher CAC as a percentage of revenue.",6.7
2019,1,Paramount Global,CEO,Unknown,"Since CBS Interactive delivers premium video content with the data targeting of digital, our AVOD channels were launched to meet the growing demand among advertisers for premium video inventory.",6.0
2019,1,Paramount Global,CEO,Unknown,"And from a revenue perspective, we have one of the largest direct sales divisions on the Internet, selling the most in-demand inventory online, premium, addressable video.",4.9
2019,1,Paramount Global,CEO,Unknown,"And so we launched CBS All Access in October 2014 to serve our super fans with roughly 5,000 episodes from past and present broadcast seasons, a portion of our library, and live feeds of our owned and operated stations.",4.0
2019,1,Paramount Global,CEO,Unknown,"While CBS was an early innovator in SVOD, we have also been ahead of the game in AVOD, starting with the 2014 launch of CBSN, the first 24-7 OTT news channel, followed by the 2018 launches of CBS Sports HQ, ET Live, and CBSN New York.",4.0
2019,1,Paramount Global,CEO,Unknown,"Just a few examples historically include our partnership with Netflix and international territories for Star Trek Discovery, our participation with virtual MVPDs such as Hulu Live and YouTube TV, our channel deals for All Access and Showtime with Amazon, Roku, and Apple, our partnership with the NFL for CBS All Access, our Emmy Award-winning Snapchat Discover Show starring James Corden, our Facebook Watch partnership",3.0
2019,1,Paramount Global,CEO,Unknown,"And now when we're launching these new AVOD services, we roll right from CBSN, that team and that stack, you know, helps the CBS Sports HQ team and theirs.",3.0
2019,1,Paramount Global,CEO,Unknown,"Not only does this enable efficiencies in digital operations, but it also ensures an entrepreneurial drive and product expertise not seen in the digital divisions of most traditional media companies.",2.9
2019,1,Paramount Global,CEO,Unknown,"We believe the combination of 30-plus shows per season from the number one CBS television network, 11 shows per year and growing from all-access originals, the power of the award-winning Showtime lineup, our 10,000-plus episode library from Cheers to the Good Wife, our increasingly popular AVOD channels, our live local feed of over 200 CBS stations, and the dozens of premium live sports, news, and entertainment event",2.9
2019,2,Paramount Global,CEO,Unknown,"So, again, similar type of analysis is really what we're looking for to introduce, you know, again, content while, again, we're selling advertising against the good fight, which rates well.",5.0
2019,2,Disney,CEO,Unknown,"Bob Iger Chairman and Chief Executive Officer When we did the Netflix deal some way back, we envisioned, even though it was at that point far off, the possibility that one day we might want to launch our own service.",4.0
2019,2,Paramount Global,CEO,Unknown,"Again, it was to basically introduce The Good Fight, which we think is a highly acclaimed show, to a much broader audience that's on the CBS television network.",4.0
2019,2,Disney,CEO,Unknown,"Bob Iger Chairman and Chief Executive Officer When we did the Netflix deal some way back, we envisioned, even though it was at that point far off, the possibility that one day we might want to launch our own service.",3.9
2019,2,Paramount Global,CEO,Unknown,"Again, it was to basically introduce The Good Fight, which we think is a highly acclaimed show, to a much broader audience that's on the CBS television network.",3.9
2019,2,Disney,CEO,Unknown,"I don't believe we've announced a date for that yet, but we're continuing to look at expansion and right now our plans for expansion there are solely focused on Shanghai.",3.0
2019,2,Disney,CEO,Unknown,"Specifically in China, where business actually has been quite good lately, we have announced that we're expanding with a Zootopia land.",1.9136
2019,2,Disney,CFO,Unknown,"At broadcasting, operating income was lower in the quarter as growth in affiliate revenue was more than offset by higher programming costs lower program sales and a 3 percent decline in advertising revenue.",7.1
2019,3,Apple,CEO,Unknown,"Please note that some of the information you'll hear during our discussion today will consist of forward-looking statements, including, without limitation, those regarding revenue, gross margin, operating expenses, other income and expense, taxes, capital allocation, and future business outlook.",4.9
2019,3,Apple,CEO,Unknown,"We see this as a great opportunity to work with some of the leading talents in this field to grow our portfolio of wireless technology patents to over 17,000 to expedite our development of our future products and to further our long-term strategy of owning and controlling the primary technologies behind the products that we make.",4.9
2019,3,Apple,CEO,Unknown,"In May, We launched our all-new Apple TV app in over 100 countries, bringing together all the ways to watch TV in a single app across iPhone, iPad, Apple TV, and select smart TVs.",4.0
2019,3,Apple,CEO,Unknown,"In the United States, In addition to a successful integration into Portland's transit system in May, we're beginning the rollout of New York City transit and will launch in Chicago later this year.",4.0
2019,3,Apple,CEO,Unknown,"On so many fronts, there's an enormous amount to look forward to over the next few months, including the launch of new services like Apple Arcade Apple TV Plus, and Apple Card.",4.0
2019,3,Disney,CEO,Unknown,"It is going to be treated as the most important product that the company has launched, and I don't know, certainly during my tenure in the job, which is quite a long time.",4.0
2019,3,Disney,CEO,Unknown,"Implementation of our integration plan is well underway, a complex process given the magnitude of the endeavor, and we remain confident in our ability to successfully execute our strategy to drive maximum value from the combined company, and our appreciation for the long-term value we can create has increased.",3.9
2019,3,Apple,CEO,Unknown,"We also had our best WWDC ever last month packed with announcements of great new features coming this fall across our four software platforms, making them more powerful, more personal, and more private.",3.0
2019,4,Disney,CEO,Unknown,"As I said, our acquisition of 21st Century Fox was largely driven by the value it brought to our overall DTC strategy, adding a number of critical elements, including control of Hulu, which opens numerous growth opportunities domestically and internationally.",5.0
2019,4,Disney,CEO,Unknown,"In addition to creating a phenomenal product, we're supporting the launch of Disney+, with an unprecedented marketing campaign drawing on every existing connection the Walt Disney Company has with consumers.",5.0
2019,4,Disney,CEO,Unknown,"It's an historic effort to raise awareness and drive demand, one that reflects our all-in commitment to the strategic initiative and our determination to launch big and scale fast.",5.0
2019,4,Paramount Global,CEO,Unknown,"We have must-see content in news, in sports, in entertainment, and we have a model that gets deals done, including having a range of partnership levers, whether that's in advanced ad sales, doing more and more working with them in the broadband space, You know, we started that with Pluto.",5.0
2019,4,Disney,CEO,Unknown,"As I said, our acquisition of 21st Century Fox was largely driven by the value it brought to our overall DTC strategy, adding a number of critical elements, including control of Hulu, which opens numerous growth opportunities domestically and internationally.",4.9
2019,4,Disney,CEO,Unknown,"Bob Iger Chairman and Chief Executive Officer We're now just days away from launching Disney+, the culmination of four years of planning, organizational transformation, and a lot of hard work.",4.0
2019,4,Disney,CEO,Unknown,"As you know, we began this process with the acquisition of Bantech, which gave us the means to implement our DTC strategy, putting us into the market quickly and ensuring we had the technology to deliver a quality experience.",4.0
2019,4,Disney,CEO,Unknown,"And today, I'm pleased to announce On March 31st, Disney Plus will launch in markets across Western Europe, including the UK, France, Germany, Italy, Spain, and a number of other countries in the region.",4.0
2020,1,Disney,CEO,Unknown,they still exist and obviously the virus has slowed things down a bit but we expect that when that passes that we will start looking expansively in other territories and of course lastly there's a yield story to tell and that's been exceptional that is a combination of things but clearly a far more sophisticated more thoughtful pricing strategy has helped a lot at taking advantage of peak periods and pricing leverage,5.9
2020,1,Comcast,CEO,Unknown,"While this certainly wasn't our plan, there may not have been a better time to launch our free ad-supported streaming product, Peacock, for Xfinity customers.",5.0
2020,1,Disney,CEO,Unknown,"So it's far too early for us after basically a quarter and â a little bit more under our belt, to change our guidance, having not launched in any of the big international markets yet.",4.0
