company,year,quarter,highlight_type,speaker,text,relevance_score,role_bucket,role,quote,score
Alphabet,2018,4,Strategic_Announcement,Unknown,"The key drivers were first, content acquisition costs, primarily for YouTube, mostly for our advertising-supported content in what is a seasonally strong quarter for YouTube, but also for our newer subscription businesses, YouTube Premium and YouTube TV, which have higher CAC as a percentage of revenues.",7.7,CFO,CFO,"The key drivers were first, content acquisition costs, primarily for YouTube, mostly for our advertising-supported content in what is a seasonally strong quarter for YouTube, but also for our newer subscription businesses, YouTube Premium and YouTube TV, which have higher CAC as a percentage of revenues.",7.7
Alphabet,2018,4,Strategic_Announcement,Unknown,"Turning to Investments and Profitability In terms of gross margin, the biggest component within cost of revenues remains our traffic acquisition costs, reflecting our strong revenue growth in mobile search and the fact that mobile search carries higher TAC than our desktop business.",7.7,CFO,CFO,"Turning to Investments and Profitability In terms of gross margin, the biggest component within cost of revenues remains our traffic acquisition costs, reflecting our strong revenue growth in mobile search and the fact that mobile search carries higher TAC than our desktop business.",7.7
Alphabet,2018,4,CFO_Financial_Detail,Unknown,"Total traffic acquisition costs were $7.4 billion, or 23% of total advertising revenues, and up 15% year over year.",6.9227,CFO,CFO,"Total traffic acquisition costs were $7.4 billion, or 23% of total advertising revenues, and up 15% year over year.",6.9227
Alphabet,2018,4,CFO_Financial_Detail,Unknown,"Ruth Porat Chief Financial Officer We had a strong 2018 with total revenues of $136.8 billion, up 23% over 2017, reflecting the benefit of our ongoing investments to deliver exceptional experiences for users and compelling returns for our advertisers, partners, and enterprise customers.",6.8,CFO,CFO,"Ruth Porat Chief Financial Officer We had a strong 2018 with total revenues of $136.8 billion, up 23% over 2017, reflecting the benefit of our ongoing investments to deliver exceptional experiences for users and compelling returns for our advertisers, partners, and enterprise customers.",6.8
Alphabet,2018,4,Strategic_Announcement,Unknown,"In terms of the expenses, I think what you're referring to is â Within other cost revenues, you know, the primary driver in the fourth quarter was the increase in content acquisition costs due to YouTube growth, and that's both for ad-supported content in what is typically a seasonally strong quarter and also for our newer subscription businesses, which do have higher CAC as a percentage of revenue.",6.7,CFO,CFO,"In terms of the expenses, I think what you're referring to is â Within other cost revenues, you know, the primary driver in the fourth quarter was the increase in content acquisition costs due to YouTube growth, and that's both for ad-supported content in what is typically a seasonally strong quarter and also for our newer subscription businesses, which do have higher CAC as a percentage of revenue.",6.7
Alphabet,2018,4,CFO_Financial_Detail,Unknown,"EMEA revenues were $12.4 billion, up 20% year-over-year in both reported and constant currency terms, with a slight headwind primarily from the euro.",5.6773,CFO,CFO,"EMEA revenues were $12.4 billion, up 20% year-over-year in both reported and constant currency terms, with a slight headwind primarily from the euro.",5.6773
Alphabet,2018,4,CFO_Financial_Detail,Unknown,"On a consolidated basis, total cost of revenues, including TAC, which I will discuss in the Google segment results, was $17.9 billion, up 26% year-on-year.",5.1,CFO,CFO,"On a consolidated basis, total cost of revenues, including TAC, which I will discuss in the Google segment results, was $17.9 billion, up 26% year-on-year.",5.1
Alphabet,2018,4,CFO_Financial_Detail,Unknown,"Our effective tax rate was 11.2% for the fourth quarter, reflecting a discrete benefit due to the reversal of an accrual made as a result of updated guidance associated with the U.S.",5.1,CFO,CFO,"Our effective tax rate was 11.2% for the fourth quarter, reflecting a discrete benefit due to the reversal of an accrual made as a result of updated guidance associated with the U.S.",5.1
Alphabet,2018,4,CFO_Financial_Detail,Unknown,"Other cost of revenues on a consolidated basis was $10.5 billion, up 34% year-over-year, primarily driven by Google-related expenses.",5.0045,CFO,CFO,"Other cost of revenues on a consolidated basis was $10.5 billion, up 34% year-over-year, primarily driven by Google-related expenses.",5.0045
Alphabet,2018,4,CFO_Financial_Detail,Unknown,"Network revenues were $5.6 billion, up 12% year-on-year, reflecting the ongoing momentum of AdMob and Google Ad Manager.",4.9455,CFO,CFO,"Network revenues were $5.6 billion, up 12% year-on-year, reflecting the ongoing momentum of AdMob and Google Ad Manager.",4.9455
Alphabet,2018,4,CFO_Financial_Detail,Unknown,"In terms of the revenue detail, Google Sites revenues were $27 billion in the quarter, up 22% year-over-year.",4.8955,CFO,CFO,"In terms of the revenue detail, Google Sites revenues were $27 billion in the quarter, up 22% year-over-year.",4.8955
Alphabet,2018,4,Strategic_Announcement,Unknown,"Key recent accomplishments include, in December 2017, Waymo launched Waymo One, which enables participants to use its app to hail and pay for rides.",3.9727,CFO,CFO,"Key recent accomplishments include, in December 2017, Waymo launched Waymo One, which enables participants to use its app to hail and pay for rides.",3.9727
Alphabet,2018,4,Strategic_Announcement,Unknown,"Also, Verily recently announced a $1 billion investment round led by Silver Lake as it advances on plans that are complementary and additive to its current life sciences portfolio.",3.0,CFO,CFO,"Also, Verily recently announced a $1 billion investment round led by Silver Lake as it advances on plans that are complementary and additive to its current life sciences portfolio.",3.0
Alphabet,2018,4,Strategic_Announcement,Unknown,"Finally, on capital allocation, our primary use continues to be to support organic growth in our businesses, followed by retaining flexibility for acquisitions.",3.0,CFO,CFO,"Finally, on capital allocation, our primary use continues to be to support organic growth in our businesses, followed by retaining flexibility for acquisitions.",3.0
Alphabet,2019,1,Strategic_Announcement,Unknown,"The biggest contributor was costs associated with our data centers and other operations, including depreciation, followed by content acquisition costs, primarily for YouTube and mostly for our advertising-supported content, but also for our newer subscription businesses, YouTube Premium, and YouTube TV, which have higher CAC as a percentage of revenues.",7.0,CFO,CFO,"The biggest contributor was costs associated with our data centers and other operations, including depreciation, followed by content acquisition costs, primarily for YouTube and mostly for our advertising-supported content, but also for our newer subscription businesses, YouTube Premium, and YouTube TV, which have higher CAC as a percentage of revenues.",7.0
